key_conf,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,duration
0.048,37.754,-39.568,-69.924,-49.235,81.533,-12.821,-72.344,-20.915,41.304,-20.02,-8.365,22.724,0.4168300000000009
0.048,35.686,-79.87,-62.157,8.579,39.417,-17.443,-56.837,-10.615,-10.844,4.632,-0.132,-11.703,0.3330599999999997
0.048,32.834,-62.885,-18.11,-49.555,0.264,-19.889,-7.457,14.68,4.407,-11.527,15.074,-2.684,0.11545999999999879
0.048,35.318,24.724,-52.566,7.603,3.015,-42.787,-18.971,-17.381,13.274,12.692,-25.218,3.602,0.23849999999999838
0.048,33.727,116.848,-131.664,-90.186,89.762,-47.186,9.505,27.61,-3.765,-34.473,10.005,-14.418,0.11396999999999835
0.048,38.081,107.918,-82.898,-109.616,116.404,-31.408,15.324,-117.774,-15.55,20.653,-28.915,5.545,0.1849899999999991
0.048,39.516,-49.16,-36.711,29.677,76.696,14.704,-44.025,-25.981,13.287,-30.267,-47.286,13.288,0.4184599999999996
0.048,39.305,-72.999,20.27,-102.065,96.848,11.297,-10.837,7.052,-43.174,4.251,-10.973,-9.033,0.2557399999999994
0.048,41.244,-27.247,-18.126,-59.042,71.175,12.181,-41.172,8.566,27.99,-21.328,-15.099,3.81,0.1212699999999991
0.048,42.932,-67.671,-14.354,-48.118,75.05,-47.612,-16.913,18.553,-6.382,9.132,17.732,-3.54,0.13382999999999967
0.048,44.692,-47.731,2.059,-38.602,73.04,-39.178,-21.954,-16.656,-14.636,6.467,-6.179,-16.827,0.08176999999999879
0.048,42.503,-65.232,-68.305,25.846,69.968,-56.193,-46.426,11.152,17.437,-13.759,-16.93,-4.236,0.3863899999999987
0.048,38.667,86.205,-119.506,-80.088,114.064,-44.997,-16.798,2.875,11.772,-43.031,9.398,-0.478,0.21084000000000103
0.048,39.804,-27.801,-83.147,-1.565,42.965,-27.7,-64.894,-17.057,25.629,17.537,-35.446,6.475,0.2797699999999992
0.048,37.305,25.226,-65.605,-46.888,14.375,-37.492,-26.615,-18.269,-21.03,-6.838,2.107,-3.012,0.09124999999999872
0.048,39.584,-50.582,-81.667,-42.897,64.82,-57.092,-41.063,41.735,-17.054,17.633,8.371,-11.634,0.29092999999999947
0.048,40.527,70.909,-77.934,-46.438,87.134,-19.715,-2.988,-40.619,-23.031,10.662,-29.129,-23.439,0.16180999999999912
0.048,42.218,-28.503,-34.36,-27.192,75.605,-24.119,4.332,7.582,-13.555,-0.282,-12.715,-18.317,0.1570500000000017
0.048,41.46,-33.739,3.719,-53.825,66.107,-41.246,17.833,3.389,-20.904,-9.89,3.749,-18.545,0.3607699999999987
0.048,40.755,-55.385,-37.234,55.408,67.114,-43.846,-5.715,5.192,-18.922,-11.547,-49.47,-3.376,0.9164199999999987
0.048,32.383,-87.169,-99.567,-67.712,54.044,-46.414,-9.21,-11.189,-20.354,5.996,-1.694,-7.396,0.1376400000000011
0.048,29.855,-53.497,-91.548,20.846,-5.433,-90.036,3.377,-53.246,-23.215,35.707,-33.335,12.418,0.21787000000000134
0.048,28.97,-6.912,-31.875,-101.106,-19.24,-19.423,6.263,23.99,2.061,-30.612,10.571,-21.763,0.35923000000000016
0.048,43.214,-105.893,-9.909,-11.005,59.723,-44.957,0.162,-0.032,-6.577,3.807,19.918,14.594,0.0811300000000017
0.048,45.167,-66.328,0.04,-27.174,41.419,-12.024,-34.125,16.271,-17.62,-2.652,-20.146,-11.223,0.487169999999999
0.048,40.472,9.698,-17.615,-44.375,70.003,-37.826,-62.125,81.766,14.196,0.783,4.245,-16.19,0.3368299999999991
0.048,40.455,-32.394,-32.598,-20.114,60.745,6.52,-36.246,-21.777,6.068,47.963,-21.052,-1.478,0.3981400000000015
0.048,39.206,-3.755,-70.751,-26.68,-3.218,-39.674,-27.534,-14.817,-21.946,5.129,-17.075,5.953,0.33736999999999995
0.048,37.892,-17.844,-28.758,-56.231,42.399,-48.834,-17.767,73.152,23.481,0.827,5.449,-17.369,0.14126999999999867
0.048,39.465,-0.053,-53.61,-35.933,51.594,-33.497,-11.45,-8.664,26.19,31.758,-13.231,22.652,0.3118799999999986
0.048,38.57,-20.595,-69.65,-31.2,20.066,-36.465,-30.1,15.442,-4.124,-3.974,-9.593,6.562,0.1992699999999985
0.048,35.356,-36.821,-94.212,-53.451,35.374,-39.956,-49.429,-2.909,3.434,-0.693,-11.007,-14.295,0.19709999999999894
0.048,36.03,-33.859,-75.182,-71.992,31.272,-28.178,-30.1,11.182,-17.578,15.489,6.347,-7.324,0.3713799999999985
0.048,37.688,87.322,-97.335,-43.98,63.481,-31.884,-33.352,-48.534,9.975,24.24,-10.781,7.528,0.2028099999999995
0.048,38.139,-10.773,-56.197,-35.356,24.354,-18.134,-21.025,6.734,-21.664,5.372,-9.054,4.694,0.3434500000000007
